iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(5, 5)",None,None,"[(5, 4), (4, 5)]",[],"[(5, 4), (4, 5)]","{(5, 5)}",0,8,8
2,"(5, 4)","(5, 5)",South,"[(5, 3)]","[(4, 5)]","[(5, 3), (4, 5)]","{(5, 4), (5, 5)}",1,7,8
3,"(5, 3)","(5, 4)",South,"[(4, 3)]","[(4, 5)]","[(4, 3), (4, 5)]","{(5, 3), (5, 4), (5, 5)}",2,6,8
4,"(4, 3)","(5, 3)",West,"[(4, 2)]","[(4, 5)]","[(4, 2), (4, 5)]","{(5, 3), (5, 4), (5, 5), (4, 3)}",3,5,8
5,"(4, 2)","(4, 3)",South,"[(3, 2)]","[(4, 5)]","[(3, 2), (4, 5)]","{(5, 5), (4, 3), (5, 4), (4, 2), (5, 3)}",4,4,8
6,"(3, 2)","(4, 2)",West,"[(2, 2)]","[(4, 5)]","[(2, 2), (4, 5)]","{(5, 5), (4, 3), (5, 4), (4, 2), (5, 3), (3, 2)}",5,3,8
7,"(2, 2)","(3, 2)",West,"[(2, 3), (2, 1)]","[(4, 5)]","[(2, 1), (4, 5), (2, 3)]","{(5, 5), (4, 3), (5, 4), (4, 2), (2, 2), (5, 3), (3, 2)}",6,2,8
8,"(2, 1)","(2, 2)",South,"[(1, 1)]","[(2, 3), (4, 5)]","[(1, 1), (4, 5), (2, 3)]","{(5, 5), (2, 1), (4, 3), (5, 4), (4, 2), (2, 2), (5, 3), (3, 2)}",7,1,8
9,"(1, 1)","(2, 1)",West,[],"[(2, 3), (4, 5)]","[(2, 3), (4, 5)]","{(5, 5), (2, 1), (4, 3), (5, 4), (1, 1), (4, 2), (2, 2), (5, 3), (3, 2)}",8,0,8
