iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
13,"(28, 16)","(29, 16)",West,"[(27, 16)]","[(30, 13)]","[(27, 16), (30, 13)]","{(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (32, 16), (27, 16), (34, 15), (33, 14), (34, 14)}",6,N/A,N/A
14,"(30, 13)","(30, 14)",South,"[(30, 12)]","[(27, 16)]","[(30, 12), (27, 16)]","{(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)}",7,N/A,N/A
15,"(27, 16)","(28, 16)",West,"[(26, 16)]","[(30, 12)]","[(26, 16), (30, 12)]","{(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)}",7,N/A,N/A
16,"(30, 12)","(30, 13)",South,"[(31, 12)]","[(26, 16)]","[(31, 12), (26, 16)]","{(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (30, 12), (34, 15), (31, 12), (33, 14), (34, 14)}",8,N/A,N/A
17,"(26, 16)","(27, 16)",West,"[(25, 16)]","[(31, 12)]","[(25, 16), (31, 12)]","{(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)}",8,N/A,N/A
18,"(31, 12)","(30, 12)",East,"[(32, 12)]","[(25, 16)]","[(32, 12), (25, 16)]","{(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)}",9,N/A,N/A
19,"(25, 16)","(26, 16)",West,"[(25, 15), (24, 16)]","[(32, 12)]","[(24, 16), (25, 15), (32, 12)]","{(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)}",9,N/A,N/A
20,"(32, 12)","(31, 12)",East,"[(33, 12)]","[(24, 16), (25, 15)]","[(33, 12), (24, 16), (25, 15)]","{(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16)}",10,N/A,N/A
21,"(25, 15)","(25, 16)",South,"[(25, 14)]","[(33, 12), (24, 16)]","[(25, 14), (33, 12), (24, 16)]","{(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)}",10,N/A,N/A
22,"(24, 16)","(25, 16)",West,"[(23, 16)]","[(25, 14), (33, 12)]","[(23, 16), (25, 14), (33, 12)]","{(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)}",10,N/A,N/A
23,"(33, 12)","(32, 12)",East,"[(34, 12)]","[(23, 16), (25, 14)]","[(34, 12), (23, 16), (25, 14)]","{(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (29, 16), (31, 16), (34, 12), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)}",11,N/A,N/A
24,"(25, 14)","(25, 15)",South,"[(26, 14)]","[(34, 12), (23, 16)]","[(26, 14), (34, 12), (23, 16)]","{(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)}",11,N/A,N/A
25,"(23, 16)","(24, 16)",West,"[(22, 16)]","[(26, 14), (34, 12)]","[(22, 16), (26, 14), (34, 12)]","{(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)}",11,N/A,N/A
26,"(34, 12)","(33, 12)",East,"[(34, 11)]","[(22, 16), (26, 14)]","[(34, 11), (22, 16), (26, 14)]","{(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (30, 16), (33, 12), (32, 16), (25, 14)}",12,N/A,N/A
27,"(26, 14)","(25, 14)",East,"[(27, 14)]","[(34, 11), (22, 16)]","[(27, 14), (34, 11), (22, 16)]","{(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",12,N/A,N/A
28,"(22, 16)","(23, 16)",West,"[(21, 16)]","[(27, 14), (34, 11)]","[(21, 16), (27, 14), (34, 11)]","{(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",12,N/A,N/A
29,"(34, 11)","(34, 12)",South,"[(34, 10)]","[(21, 16), (27, 14)]","[(34, 10), (21, 16), (27, 14)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",13,N/A,N/A
30,"(27, 14)","(26, 14)",East,"[(27, 13)]","[(34, 10), (21, 16)]","[(27, 13), (34, 10), (21, 16)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",13,N/A,N/A
31,"(21, 16)","(22, 16)",West,"[(20, 16)]","[(27, 13), (34, 10)]","[(20, 16), (27, 13), (34, 10)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",13,N/A,N/A
32,"(34, 10)","(34, 11)",South,"[(33, 10)]","[(20, 16), (27, 13)]","[(33, 10), (20, 16), (27, 13)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",14,N/A,N/A
33,"(27, 13)","(27, 14)",South,"[(27, 12)]","[(33, 10), (20, 16)]","[(27, 12), (33, 10), (20, 16)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (33, 12), (32, 16), (25, 14)}",14,N/A,N/A
34,"(20, 16)","(21, 16)",West,"[(19, 16)]","[(27, 12), (33, 10)]","[(19, 16), (27, 12), (33, 10)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 16), (25, 14)}",14,N/A,N/A
35,"(33, 10)","(34, 10)",West,"[(32, 10)]","[(19, 16), (27, 12)]","[(32, 10), (19, 16), (27, 12)]","{(21, 16), (31, 14), (23, 16), (34, 16), (34, 10), (27, 13), (27, 16), (30, 12), (33, 14), (32, 12), (25, 16), (26, 14), (29, 16), (31, 16), (20, 16), (34, 12), (22, 16), (34, 15), (27, 12), (30, 14), (33, 10), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (31, 12), (34, 11), (34, 14), (28, 16), (30, 13), (27, 14), (30, 16), (19, 16), (33, 12), (32, 10), (32, 16), (25, 14)}",15,N/A,N/A
