iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
23,"(32, 8)","(31, 8)",East,"[(33, 8)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (33, 8)]","{(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)}",22,N/A,N/A
24,"(33, 8)","(32, 8)",East,"[(34, 8)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (34, 8)]","{(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)}",23,N/A,N/A
25,"(34, 8)","(33, 8)",East,"[(34, 7)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (34, 7)]","{(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)}",24,N/A,N/A
26,"(34, 7)","(34, 8)",South,"[(34, 6)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (34, 6)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)}",25,N/A,N/A
27,"(34, 6)","(34, 7)",South,"[(33, 6)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (33, 6)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)}",26,N/A,N/A
28,"(33, 6)","(34, 6)",West,"[(32, 6)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (32, 6)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",27,N/A,N/A
29,"(32, 6)","(33, 6)",West,"[(31, 6)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (31, 6)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",28,N/A,N/A
30,"(31, 6)","(32, 6)",West,"[(30, 6)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (30, 6)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",29,N/A,N/A
31,"(30, 6)","(31, 6)",West,"[(29, 6), (30, 5)]","[(33, 16), (29, 10)]","[(33, 16), (29, 10), (29, 6), (30, 5)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",30,N/A,N/A
32,"(30, 5)","(30, 6)",South,"[(30, 4)]","[(33, 16), (29, 10), (29, 6)]","[(33, 16), (29, 10), (29, 6), (30, 4)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",31,N/A,N/A
